host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,price_per_bedroom,num_amenities
3213,100.0,100.0,False,1,1,True,False,42.6761,-73.73825,15,1,4,1.0,2.0,2.0,104.0,3,26,3,1125,3.0,1125.0,30,60,90,269,1,1,0,206,1,6,262.0,262.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,0,1,0.13,52.0,39
3591,100.0,99.0,True,11,13,True,True,42.64563,-73.75311,7,0,6,1.0,2.0,3.0,86.0,1,28,1,1125,2.2,1125.0,20,35,65,340,448,42,5,181,31,252,2310.0,46.0,4.68,4.75,4.67,4.76,4.82,4.64,4.68,False,9,9,0,5.91,43.0,56
3591,100.0,99.0,True,11,13,True,True,42.64585,-73.75297,7,0,6,1.0,2.0,2.0,87.0,1,28,1,1125,2.2,1125.0,15,29,59,334,459,48,6,175,37,255,2280.0,46.0,4.76,4.81,4.75,4.84,4.87,4.64,4.76,False,9,9,0,6.14,43.5,51
2393,99.0,97.0,True,24,38,True,True,42.64335,-73.7579,7,0,6,1.0,2.0,3.0,118.0,1,1125,1,1125,1.0,1125.0,28,28,28,28,318,45,2,28,64,255,2231.0,53.0,4.75,4.76,4.86,4.84,4.84,4.28,4.72,False,22,22,0,4.35,59.0,39
4089,90.0,87.0,True,3,3,True,False,42.65259,-73.78223,15,1,2,1.0,1.0,1.0,50.0,1,1125,1,1125,1.3,1125.0,6,24,49,228,198,41,2,165,36,246,2198.0,55.0,4.98,4.97,4.95,4.98,4.94,4.94,4.96,False,3,0,3,2.75,50.0,31
2393,99.0,97.0,True,24,38,True,True,42.64506,-73.75727,7,0,2,1.0,1.0,1.0,89.0,1,1125,1,1125,1.0,1125.0,27,27,27,27,308,29,1,27,48,174,2203.0,60.0,4.79,4.82,4.83,4.85,4.83,4.32,4.75,False,22,22,0,4.27,89.0,45
2626,89.0,13.0,True,9,9,True,True,42.66619,-73.79031,7,0,4,1.0,2.0,2.0,126.0,2,1125,2,1125,2.0,1125.0,30,60,90,365,54,2,0,206,4,12,2188.0,337.0,4.8,4.83,4.87,4.93,4.93,4.87,4.74,False,8,8,0,0.75,63.0,39
2717,100.0,100.0,True,2,2,True,True,42.65085,-73.80239,15,1,1,1.5,1.0,1.0,53.0,1,1125,1,1125,1.0,1125.0,10,17,42,221,422,98,12,158,101,255,2137.0,41.0,4.97,4.99,4.99,4.98,4.98,4.98,4.98,False,2,0,2,6.03,53.0,43
2114,100.0,100.0,False,4,4,True,True,42.65507,-73.76138,7,0,4,1.0,2.0,2.0,104.0,2,365,2,1125,2.9,1091.7,28,51,81,356,44,5,2,197,5,30,2048.0,56.0,4.75,4.77,4.77,4.64,4.98,4.59,4.52,False,4,4,0,0.66,52.0,35
2626,89.0,13.0,True,9,9,True,True,42.65483,-73.78033,7,0,4,1.0,1.0,1.0,110.0,5,1125,5,1125,5.0,1125.0,30,60,90,365,24,1,0,206,0,10,2088.0,94.0,4.46,4.46,4.58,4.83,4.88,4.71,4.33,False,8,8,0,0.35,110.0,43
2847,100.0,99.0,True,9,17,True,True,42.66827,-73.79231,7,0,5,1.0,2.0,3.0,92.0,3,700,3,700,3.0,700.0,22,41,41,314,130,22,1,155,22,132,2048.0,57.0,4.86,4.94,4.9,4.96,4.97,4.92,4.82,True,9,9,0,1.94,46.0,41
3552,100.0,85.0,True,2,5,True,True,42.67773,-73.73899,4,0,4,1.0,1.0,3.0,121.0,1,800,1,800,1.0,800.0,7,7,7,7,173,7,0,7,2,42,2010.0,151.0,4.99,4.99,4.99,4.99,4.99,4.97,4.95,False,1,1,0,2.63,121.0,51
3433,100.0,100.0,False,1,1,True,True,42.65115,-73.7668,4,0,4,1.5,2.0,2.0,97.0,30,1125,30,1125,30.0,1125.0,0,0,0,0,4,0,0,0,0,0,1566.0,923.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False,1,1,0,0.08,48.5,45
2626,89.0,13.0,True,9,9,True,True,42.65315,-73.76202,7,0,4,1.0,2.0,2.0,122.0,7,1125,7,1125,7.0,1125.0,30,60,90,365,24,2,0,206,2,28,1979.0,205.0,4.75,4.71,4.79,4.79,4.79,4.79,4.67,False,8,8,0,0.37,61.0,50
3041,100.0,100.0,False,1237,2577,True,True,42.6469,-73.75761,7,0,6,1.0,3.0,3.0,174.0,3,1125,3,1125,3.0,1125.0,0,0,0,9,27,0,0,1,0,0,1845.0,994.0,3.96,4.0,4.0,4.3,4.41,4.26,3.89,True,5,5,0,0.45,58.0,23
5161,100.0,97.0,True,2,2,True,True,42.63876,-73.78535,4,0,6,1.5,3.0,3.0,102.0,1,1125,1,1125,1.3,1125.0,20,40,70,223,115,19,2,160,14,114,1911.0,44.0,4.8,4.87,4.64,4.89,4.96,4.61,4.77,False,1,1,0,1.84,34.0,54
2207,100.0,94.0,True,2,6,True,True,42.64453,-73.75426,7,0,4,1.0,2.0,2.0,87.0,2,29,1,29,2.2,29.0,25,48,77,77,112,24,3,77,26,144,1756.0,60.0,4.83,4.88,4.8,4.91,4.91,4.54,4.84,False,2,2,0,1.95,43.5,56
2114,100.0,100.0,False,4,4,True,True,42.65556,-73.76205,7,0,3,1.0,1.0,2.0,114.0,2,1080,2,1125,2.8,1091.7,18,38,68,343,18,2,0,184,3,12,1612.0,143.0,4.94,5.0,4.94,4.72,4.94,4.72,4.83,False,4,4,0,0.34,114.0,35
2393,99.0,97.0,True,24,38,True,True,42.64383,-73.78926,4,0,6,1.0,3.0,3.0,248.0,2,1125,2,1125,2.0,1125.0,0,1,1,1,91,14,0,1,24,84,1838.0,229.0,4.91,4.9,4.91,4.95,4.93,4.81,4.78,False,22,22,0,1.52,82.66666666666667,62
